CPUID:,0x600F20
Processor:,AMD FX-8320 Eight-Core (Vishera) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-C0
Lithography:,32nm

Session start:,12:57:07 - November 13 - 2021

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),Core 6 Temp. (°),Core 7 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 6,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 7,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
12:57:17 11/13/21,17,17,17,17,17,17,17,17,,,15,24,11,1516.67,,15,24,12,1516.67,,15,24,8,1516.67,,15,24,6,1516.67,,15,24,0,1516.67,,15,24,0,1516.67,,15,24,0,1516.67,,15,24,2,1516.67,
12:57:27 11/13/21,24,24,24,24,24,24,24,24,,,12,24,37,3141.68,,12,24,27,3141.68,,12,24,22,3141.68,,12,24,73,3141.68,,12,24,27,3141.68,,12,24,27,3141.68,,12,24,30,3141.68,,12,24,0,3141.68,
12:57:37 11/13/21,25,25,25,25,25,25,25,25,,,12,25,32,3141.68,,12,25,35,3141.68,,12,25,84,3141.68,,12,25,32,3141.68,,12,25,32,3141.68,,12,25,12,3141.68,,12,25,3,3141.68,,12,25,22,3141.68,
12:57:47 11/13/21,25,25,25,25,25,25,25,25,,,12,27,33,3141.68,,12,27,37,3141.68,,12,27,64,3141.68,,12,27,44,3141.68,,12,27,16,3141.68,,12,27,12,3141.68,,12,27,0,3141.68,,12,27,0,3141.68,
12:57:57 11/13/21,26,26,26,26,26,26,26,26,,,12,27,48,3141.68,,12,27,50,3141.68,,12,27,50,3141.68,,12,27,48,3141.68,,12,27,50,3141.68,,12,27,30,3141.68,,12,27,0,3141.68,,12,27,0,3141.68,
12:58:07 11/13/21,25,25,25,25,25,25,25,25,,,12,28,20,3141.68,,12,28,63,3141.68,,12,28,38,3141.68,,12,28,27,3141.68,,12,28,0,3141.68,,12,28,0,3141.68,,12,28,0,3141.68,,12,28,0,3141.68,
12:58:17 11/13/21,31,31,31,31,31,31,31,31,,,12,31,45,3141.68,,12,31,41,3141.68,,12,31,56,3141.68,,12,31,98,3141.68,,12,31,38,3141.68,,12,31,58,3141.68,,12,31,21,3141.68,,12,31,7,3141.68,
12:58:27 11/13/21,27,27,27,27,27,27,27,27,,,12,31,45,3141.68,,12,31,47,3141.68,,12,31,66,3141.68,,12,31,40,3141.68,,12,31,28,3141.68,,12,31,17,3141.68,,12,31,0,3141.68,,12,31,0,3141.68,
12:58:37 11/13/21,27,27,27,27,27,27,27,27,,,12,31,35,3141.68,,12,31,41,3141.68,,12,31,64,3141.68,,12,31,33,3141.68,,12,31,11,3141.68,,12,31,8,3141.68,,12,31,0,3141.68,,12,31,0,3141.68,
12:58:47 11/13/21,27,27,27,27,27,27,27,27,,,12,31,15,3141.68,,12,31,38,3141.68,,12,31,52,3141.68,,12,31,43,3141.68,,12,31,8,3141.68,,12,31,8,3141.68,,12,31,0,3141.68,,12,31,0,3141.68,
